study_id,event_type_P1,event_type_P2,event_type_P2Enemy,event_type_P1Enemy,actuator_P1,actuator_P2,receiver_P1Enemy,receiver_P2Enemy,avg_distance,total_time,distance_trend_Farther,distance_trend_Closer,movement_trend_Sideways,movement_trend_Away,movement_trend_Toward
0,54.0,51.0,1.0,1.0,1,1,0,0,40.299065420560744,11,12.0,8.0,10.0,5.0,5.0
101,2.0,,,,0,0,0,0,42.0,10,,,,,
1021,46.0,26.0,1.0,,0,1,0,0,58.73972602739726,8,2.0,2.0,2.0,1.0,1.0
1029,11.0,20.0,1.0,,0,1,0,0,53.6875,6,2.0,,1.0,1.0,
1031,2.0,,,1.0,1,0,0,0,27.333333333333332,7,,,,,
1035,1.0,2.0,,,0,0,0,0,63.333333333333336,7,,,,,
1038,1.0,,,,0,0,0,0,0.0,8,1.0,,1.0,,
1039,2.0,3.0,,1.0,1,0,0,0,37.666666666666664,8,1.0,,,1.0,
1040,2.0,6.0,,,0,0,0,0,56.875,9,,,,,
1041,,1.0,,,0,0,0,0,4.0,7,,,,,
1042,15.0,11.0,,1.0,1,0,0,0,56.81481481481482,8,,2.0,1.0,,1.0
1043,,1.0,,,0,0,0,0,29.0,6,,,,,
1049,15.0,8.0,1.0,,0,1,0,0,29.0,6,,,,,
1054,11.0,19.0,1.0,,0,1,0,0,30.967741935483872,4,,,,,
1059,1.0,,,,0,0,0,0,99.0,3,,,,,
1060,7.0,2.0,,,0,0,0,0,27.22222222222222,10,,,,,
1061,8.0,4.0,,,0,0,0,0,66.33333333333333,5,,2.0,1.0,,1.0
1063,1.0,,,,0,0,0,0,20.0,4,,,,,
1064,4.0,9.0,,,0,0,0,0,32.92307692307692,3,,,,,
1070,1.0,,,,0,0,0,0,20.0,10,,,,,
1090,,1.0,,,0,0,0,0,19.0,10,,,,,
1100,2.0,3.0,,,0,0,0,0,38.4,9,,,,,
1108,1.0,,,,0,0,0,0,15.0,10,,,,,
1129,1.0,8.0,,,0,0,0,0,81.22222222222223,10,,,,,
116,2.0,1.0,,,0,0,0,0,21.666666666666668,11,,,,,
1172,5.0,2.0,,,0,0,0,0,32.57142857142857,8,,,,,
1199,2.0,1.0,,,0,0,0,0,60.333333333333336,9,,,,,
1207,2.0,,,,0,0,0,0,56.0,9,,,,,
1231,1.0,,,,0,0,0,0,56.0,9,,,,,
1249,12.0,1.0,,,0,0,0,0,50.76923076923077,9,,,,,
129,3.0,3.0,,,0,0,0,0,31.5,8,2.0,,1.0,1.0,
1315,,1.0,,,0,0,0,0,56.0,9,,,,,
1359,1.0,,,,0,0,0,0,59.0,9,,,,,
1425,1.0,2.0,,,0,0,0,0,80.66666666666667,9,,,,,
15,3.0,1.0,,,0,0,0,0,83.75,3,,,,,
1545,2.0,,,,0,0,0,0,77.5,9,,,,,
1569,11.0,28.0,1.0,,0,1,0,0,55.0,10,,2.0,,1.0,1.0
1585,24.0,30.0,1.0,,0,1,0,0,40.660714285714285,6,2.0,,,2.0,
1589,2.0,16.0,1.0,,0,1,0,0,34.26315789473684,5,,2.0,,,2.0
1595,3.0,10.0,,1.0,1,0,0,0,56.785714285714285,4,,,,,
1599,24.0,12.0,1.0,1.0,1,1,0,0,27.710526315789473,7,,,,,
1603,20.0,11.0,,2.0,2,0,0,0,36.63636363636363,9,,2.0,1.0,,1.0
1605,6.0,4.0,,,0,0,0,0,68.0,10,,,,,
1607,12.0,13.0,,1.0,1,0,0,0,50.92307692307692,7,,,,,
1609,2.0,1.0,,,0,0,0,0,30.0,7,,,,,
1613,,7.0,,,0,0,0,0,41.285714285714285,4,,,,,
1617,2.0,2.0,,,0,0,0,0,66.25,10,,,,,
1623,15.0,6.0,,,0,0,0,0,37.42857142857143,8,2.0,,,2.0,
1637,6.0,27.0,1.0,,0,1,0,0,46.411764705882355,7,,,,,
1647,33.0,2.0,,1.0,1,0,0,0,44.861111111111114,7,,,,,
1653,2.0,2.0,,,0,0,0,0,28.0,9,,,,,
181,6.0,3.0,,,0,0,0,0,44.666666666666664,12,,,,,
184,4.0,,,,0,0,0,0,66.5,11,,,,,
204,9.0,2.0,,,0,0,0,0,57.81818181818182,8,,2.0,,,2.0
21,4.0,10.0,,,0,0,0,0,48.785714285714285,3,,,,,
224,1.0,,,,0,0,0,0,61.0,6,,,,,
23,,1.0,,,0,0,0,0,61.0,3,,,,,
244,4.0,4.0,,,0,0,0,0,55.875,6,,2.0,,,2.0
274,,4.0,,,0,0,0,0,60.0,2,,,,,
296,1.0,,,,0,0,0,0,73.0,2,,,,,
30,4.0,8.0,,,0,0,0,0,49.333333333333336,4,,2.0,,,2.0
304,12.0,8.0,,,0,0,0,0,44.75,2,1.0,3.0,1.0,,3.0
313,,2.0,,,0,0,0,0,68.0,1,,,,,
33,11.0,6.0,,,0,0,0,0,45.05882352941177,5,2.0,,,2.0,
343,2.0,10.0,,,0,0,0,0,38.166666666666664,2,2.0,,1.0,1.0,
367,3.0,1.0,,,0,0,0,0,32.0,2,,2.0,1.0,,1.0
37,,1.0,,,0,0,0,0,28.0,5,,,,,
375,10.0,12.0,,1.0,1,0,0,0,75.30434782608695,4,,,,,
379,7.0,5.0,,,0,0,0,0,56.25,3,2.0,,,2.0,
381,3.0,3.0,,,0,0,0,0,19.0,4,,,,,
385,3.0,2.0,,,0,0,0,0,86.2,3,,,,,
39,5.0,,,,0,0,0,0,64.8,2,,,,,
397,19.0,13.0,,,0,0,0,0,46.46875,4,,,,,
45,1.0,1.0,,,0,0,0,0,45.0,5,,,,,
457,1.0,,,,0,0,0,0,55.0,3,,,,,
469,2.0,,,,0,0,0,0,55.5,3,,,,,
519,1.0,,,,0,0,0,0,85.0,3,,,,,
529,15.0,29.0,,1.0,1,0,0,0,49.8,4,,,,,
539,2.0,,1.0,,0,1,0,0,34.666666666666664,4,,,,,
549,5.0,6.0,,,0,0,0,0,31.818181818181817,4,,,,,
559,6.0,,,,0,0,0,0,25.166666666666668,3,,,,,
57,1.0,,,,0,0,0,0,95.0,5,,,,,
571,1.0,6.0,,,0,0,0,0,22.0,3,,,,,
589,6.0,13.0,1.0,,0,1,0,0,54.2,5,2.0,,,2.0,
595,19.0,31.0,1.0,,0,1,0,0,42.76470588235294,9,2.0,,,2.0,
599,1.0,2.0,,,0,0,0,0,48.666666666666664,6,,,,,
6,8.0,1.0,,,0,0,0,0,34.111111111111114,7,,,,,
619,,3.0,,,0,0,0,0,95.33333333333333,2,,,,,
625,1.0,,,,0,0,0,0,28.0,9,,,,,
643,1.0,3.0,,,0,0,0,0,67.75,9,,,,,
65,8.0,6.0,1.0,,0,1,0,0,67.8,11,,,,,
673,2.0,1.0,,,0,0,0,0,65.66666666666667,8,,,,,
68,5.0,2.0,,,0,0,0,0,36.42857142857143,10,,,,,
715,5.0,5.0,,,0,0,0,0,70.3,8,,2.0,,,2.0
763,8.0,1.0,,,0,0,0,0,40.77777777777778,7,,,,,
77,,2.0,,,0,0,0,0,13.5,10,,,,,
831,8.0,8.0,1.0,,0,1,0,0,32.529411764705884,7,,,,,
840,1.0,1.0,,,0,0,0,0,37.0,7,,,,,
844,1.0,,,,0,0,0,0,38.0,6,,,,,
852,6.0,4.0,,,0,0,0,0,50.6,8,2.0,,,2.0,
864,7.0,,,,0,0,0,0,70.57142857142857,8,,,,,
87,1.0,4.0,,,0,0,0,0,27.4,7,,,,,
871,1.0,1.0,,,0,0,0,0,95.0,5,,,,,
888,1.0,2.0,,,0,0,0,0,73.33333333333333,8,,,,,
9,12.0,6.0,,1.0,1,0,0,0,34.94736842105263,2,2.0,2.0,,2.0,2.0
918,,1.0,,,0,0,0,0,19.0,8,,,,,
930,3.0,5.0,,,0,0,0,0,60.25,8,,2.0,1.0,,1.0
938,1.0,,,,0,0,0,0,88.0,7,,,,,
962,1.0,2.0,,,0,0,0,0,12.0,8,2.0,,1.0,1.0,
986,2.0,,,,0,0,0,0,40.0,8,,,,,
